Policy ID,Age,Gender,Vehicle Type,Fuel Type,City Tier,NCB,Vehicle Age,IDV,Exposure,Claims,Claim Amount,Accident Type,Weather,Fraud Flag
NS-01356,27,Female,Two-Wheeler,Diesel,Tier 2,20,0,199000,1.0,0,,,,0
NS-01600,21,Male,SUV,Petrol,Tier 2,45,4,1906000,1.0,0,,,,0
NS-01754,64,Female,Two-Wheeler,Petrol,Tier 2,35,4,199000,1.0,0,,,,0
NS-00942,50,Female,Two-Wheeler,Petrol,Tier 1,50,13,143000,1.0,0,,,,0
NS-01651,47,Male,Hatchback,Diesel,Tier 2,20,1,359000,1.0,0,,,,0
NS-00963,47,Female,Hatchback,Diesel,Tier 1,0,10,420000,1.0,0,,,,0
NS-01778,30,Female,Hatchback,Petrol,Tier 2,25,7,481000,1.0,1,77000.0,Collision,Storm,0
NS-00720,34,Female,Hatchback,Petrol,Tier 1,50,11,357000,1.0,0,,,,0
NS-01260,29,Female,SUV,Diesel,Tier 2,0,1,1326000,1.0,0,,,,0
NS-00415,58,Female,SUV,Petrol,Tier 1,0,8,2169000,1.0,1,28800.0,Theft,Clear,0
NS-01892,54,Male,Hatchback,Petrol,Tier 3,20,6,661000,1.0,0,,,,0
NS-01056,60,Male,Hatchback,Petrol,Tier 2,50,5,669000,1.0,0,,,,0
NS-01405,60,Male,SUV,Diesel,Tier 2,20,14,1249000,1.0,0,,,,0
NS-01949,24,Male,Sedan,Diesel,Tier 3,0,4,1064000,1.0,0,,,,0
NS-02322,36,Female,Sedan,Diesel,Tier 3,35,4,1138000,1.0,0,,,,0
NS-01666,32,Male,Two-Wheeler,Diesel,Tier 2,20,4,164000,1.0,0,,,,0
NS-00240,36,Male,Sedan,Petrol,Tier 1,20,3,1031000,1.0,0,,,,0
NS-00253,52,Male,Hatchback,Petrol,Tier 1,20,15,621000,1.0,0,,,,0
NS-02218,62,Male,Two-Wheeler,Petrol,Tier 3,25,1,171000,1.0,0,,,,0
NS-00174,21,Female,SUV,Petrol,Tier 1,35,3,1869000,1.0,0,,,,0
NS-00768,21,Male,Sedan,Diesel,Tier 1,0,0,1009000,1.0,1,25200.0,Collision,Rain,0
NS-01456,47,Female,SUV,Petrol,Tier 2,50,3,1333000,1.0,1,75000.0,Collision,Rain,0
NS-00238,40,Male,Sedan,Diesel,Tier 1,0,2,744000,1.0,0,,,,0
NS-00782,31,Male,Hatchback,Petrol,Tier 1,25,8,473000,1.0,0,,,,0
NS-01813,28,Male,Two-Wheeler,Petrol,Tier 3,50,9,101000,1.0,0,,,,0
NS-00786,51,Male,Two-Wheeler,Petrol,Tier 1,20,14,129000,1.0,0,,,,0
NS-00556,59,Female,Two-Wheeler,Diesel,Tier 1,0,11,95000,1.0,1,30800.0,Collision,Clear,0
NS-00875,23,Female,Sedan,CNG,Tier 1,20,7,823000,1.0,0,,,,0
NS-01128,30,Male,Sedan,Diesel,Tier 2,0,5,601000,1.0,0,,,,0
NS-00486,41,Female,Sedan,Diesel,Tier 1,50,13,1174000,1.0,0,,,,0
NS-00101,39,Female,Hatchback,CNG,Tier 1,45,9,407000,1.0,0,,,,0
NS-00045,53,Male,Hatchback,Petrol,Tier 1,0,0,373000,1.0,0,,,,0
NS-01208,25,Female,Hatchback,Petrol,Tier 2,20,1,525000,1.0,0,,,,0
NS-00650,50,Male,SUV,Petrol,Tier 1,0,9,1213000,1.0,0,,,,0
NS-00248,49,Female,Sedan,Petrol,Tier 1,25,5,859000,1.0,0,,,,0
NS-02229,23,Female,SUV,Petrol,Tier 3,35,11,1684000,1.0,0,,,,0
NS-01540,54,Male,Two-Wheeler,Petrol,Tier 2,25,13,101000,1.0,0,,,,0
NS-02141,51,Male,Hatchback,Diesel,Tier 3,35,14,566000,1.0,0,,,,0
NS-00708,61,Male,Sedan,Petrol,Tier 1,35,4,1188000,1.0,0,,,,0
NS-01311,36,Female,Hatchback,Petrol,Tier 2,25,0,516000,1.0,0,,,,0
NS-01392,24,Female,SUV,Petrol,Tier 2,0,12,2138000,1.0,0,,,,0
NS-02181,24,Male,Hatchback,CNG,Tier 3,20,12,699000,1.0,0,,,,0
NS-01271,25,Female,Sedan,Diesel,Tier 2,35,6,1111000,1.0,0,,,,0
NS-01434,63,Male,SUV,CNG,Tier 2,25,13,1022000,1.0,0,,,,0
NS-00887,55,Female,Sedan,Petrol,Tier 1,0,9,781000,1.0,0,,,,0
NS-01337,56,Male,Sedan,Diesel,Tier 2,0,0,758000,1.0,0,,,,0
NS-01928,40,Male,SUV,Electric,Tier 3,35,2,2136000,1.0,0,,,,0
NS-01969,31,Female,Two-Wheeler,Petrol,Tier 3,50,2,67000,1.0,0,,,,0
NS-01211,48,Male,Sedan,Petrol,Tier 2,45,11,1046000,1.0,0,,,,0
NS-00870,35,Male,SUV,Petrol,Tier 1,50,1,2189000,1.0,0,,,,0
NS-01682,39,Male,Hatchback,CNG,Tier 2,25,15,377000,1.0,0,,,,0
NS-01448,39,Female,Two-Wheeler,Petrol,Tier 2,0,7,77000,1.0,1,32400.0,Third-Party Liability,Clear,0
NS-00730,40,Male,Hatchback,Petrol,Tier 1,20,8,370000,1.0,0,,,,0
NS-01768,22,Male,Hatchback,Petrol,Tier 2,25,10,413000,1.0,0,,,,0
NS-02205,50,Male,Sedan,Petrol,Tier 3,20,6,682000,1.0,0,,,,0
NS-01799,43,Female,Hatchback,Petrol,Tier 2,35,14,559000,1.0,1,40200.0,Theft,Rain,0
NS-00810,58,Male,Sedan,Petrol,Tier 1,45,10,1022000,1.0,0,,,,0
NS-00441,57,Male,Hatchback,Petrol,Tier 1,25,12,625000,1.0,0,,,,0
NS-01668,56,Female,SUV,Electric,Tier 2,50,0,1110000,1.0,0,,,,0
NS-01789,32,Male,Sedan,Petrol,Tier 2,0,12,1018000,1.0,0,,,,0
NS-01162,55,Male,Sedan,Diesel,Tier 2,20,15,1181000,1.0,0,,,,0
NS-00630,51,Male,Two-Wheeler,Electric,Tier 1,20,13,97000,1.0,0,,,,0
NS-00652,38,Female,SUV,CNG,Tier 1,45,15,1433000,1.0,0,,,,0
NS-01584,35,Female,Two-Wheeler,CNG,Tier 2,45,2,164000,1.0,0,,,,0
NS-01200,64,Male,Sedan,Diesel,Tier 2,20,14,909000,1.0,0,,,,0
NS-01628,59,Male,Two-Wheeler,Petrol,Tier 2,50,2,151000,1.0,0,,,,0
NS-01906,29,Male,Sedan,Petrol,Tier 3,50,6,729000,1.0,0,,,,0
NS-00523,35,Female,SUV,Electric,Tier 1,20,7,1784000,1.0,0,,,,0
NS-00839,52,Female,SUV,Petrol,Tier 1,20,4,1225000,1.0,0,,,,0
NS-02239,36,Female,Hatchback,Diesel,Tier 3,20,4,589000,1.0,0,,,,0
NS-00980,37,Female,Hatchback,Petrol,Tier 1,0,12,575000,1.0,0,,,,0
NS-00200,47,Male,Hatchback,Diesel,Tier 1,45,13,391000,1.0,0,,,,0
NS-02139,33,Male,SUV,Electric,Tier 3,20,10,1176000,1.0,0,,,,0
NS-01138,33,Female,SUV,Diesel,Tier 2,0,0,1538000,1.0,0,,,,0
NS-02286,42,Female,Hatchback,Petrol,Tier 3,35,0,519000,1.0,0,,,,0
NS-00351,58,Male,Hatchback,Petrol,Tier 1,0,0,473000,1.0,0,,,,0
NS-01129,64,Male,Sedan,Petrol,Tier 2,35,10,725000,1.0,0,,,,0
NS-01403,64,Male,Hatchback,Diesel,Tier 2,0,2,590000,1.0,0,,,,0
NS-02035,44,Male,Sedan,Petrol,Tier 3,35,14,823000,1.0,0,,,,0
NS-00212,52,Male,Sedan,CNG,Tier 1,25,2,1075000,1.0,0,,,,0
NS-01871,23,Male,Hatchback,Petrol,Tier 3,0,15,453000,1.0,0,,,,0
NS-00822,49,Male,Hatchback,Petrol,Tier 1,20,3,536000,1.0,0,,,,0
NS-01074,35,Female,SUV,Petrol,Tier 2,0,3,1218000,1.0,0,,,,0
NS-01964,31,Male,Hatchback,Diesel,Tier 3,25,11,434000,1.0,0,,,,0
NS-01345,38,Female,Hatchback,Diesel,Tier 2,35,11,410000,1.0,0,,,,0
NS-01488,28,Male,Sedan,Petrol,Tier 2,0,10,840000,1.0,0,,,,0
NS-01160,40,Female,Sedan,Petrol,Tier 2,50,9,1014000,1.0,1,13900.0,Theft,Rain,0
NS-02315,38,Male,Hatchback,Diesel,Tier 3,50,7,421000,1.0,0,,,,0
NS-01597,64,Female,Sedan,Petrol,Tier 2,45,0,751000,1.0,0,,,,0
NS-02398,54,Female,Sedan,Petrol,Tier 3,0,15,637000,1.0,0,,,,0
NS-02098,49,Male,Hatchback,Petrol,Tier 3,45,13,625000,1.0,0,,,,0
NS-00462,62,Female,Hatchback,Diesel,Tier 1,25,15,438000,1.0,0,,,,0
NS-01562,55,Male,Hatchback,Petrol,Tier 2,35,0,585000,1.0,0,,,,0
NS-02113,47,Male,Sedan,Petrol,Tier 3,0,2,1137000,1.0,0,,,,0
NS-01015,37,Male,Two-Wheeler,Diesel,Tier 2,0,7,82000,1.0,0,,,,0
NS-00297,47,Male,Sedan,Electric,Tier 1,20,7,855000,1.0,0,,,,0
NS-01642,44,Female,Hatchback,Petrol,Tier 2,35,0,498000,1.0,0,,,,0
NS-00791,62,Male,Two-Wheeler,Petrol,Tier 1,45,10,62000,1.0,0,,,,0
NS-00788,51,Male,SUV,Petrol,Tier 1,20,10,1773000,1.0,0,,,,0
NS-00930,27,Male,Hatchback,Petrol,Tier 1,50,2,610000,1.0,0,,,,0
NS-00197,63,Male,Sedan,Petrol,Tier 1,35,7,1128000,1.0,0,,,,0
NS-01248,48,Female,Sedan,Diesel,Tier 2,0,10,1139000,1.0,0,,,,0
NS-01843,54,Female,SUV,Diesel,Tier 3,35,12,1481000,1.0,0,,,,0
NS-00938,45,Male,SUV,Petrol,Tier 1,0,7,1807000,1.0,1,25300.0,Collision,Clear,0
NS-00618,53,Female,SUV,Diesel,Tier 1,0,2,1955000,1.0,0,,,,0
NS-00030,45,Female,Hatchback,Petrol,Tier 1,25,0,541000,1.0,0,,,,0
NS-00643,64,Male,Sedan,Petrol,Tier 1,0,3,664000,1.0,0,,,,0
NS-02017,21,Male,Two-Wheeler,Petrol,Tier 3,20,1,85000,1.0,0,,,,0
NS-01531,59,Male,Sedan,Petrol,Tier 2,50,8,772000,1.0,0,,,,0
NS-00230,41,Female,SUV,Diesel,Tier 1,20,13,1151000,1.0,0,,,,0
NS-00431,31,Male,Hatchback,Petrol,Tier 1,25,2,388000,1.0,0,,,,0
NS-00189,38,Female,Sedan,Petrol,Tier 1,25,5,1081000,1.0,0,,,,0
NS-00408,27,Female,Hatchback,Diesel,Tier 1,0,1,675000,1.0,0,,,,0
NS-02246,59,Male,SUV,Petrol,Tier 3,45,13,1307000,1.0,0,,,,0
NS-01767,37,Female,SUV,CNG,Tier 2,0,2,2191000,1.0,0,,,,0
NS-00211,21,Female,Two-Wheeler,Petrol,Tier 1,0,14,191000,1.0,0,,,,0
NS-00473,25,Female,Hatchback,Petrol,Tier 1,0,4,427000,1.0,0,,,,0
NS-00686,54,Female,Hatchback,Petrol,Tier 1,0,6,615000,1.0,0,,,,0
NS-00260,39,Male,Sedan,Petrol,Tier 1,0,1,742000,1.0,0,,,,0
NS-00603,36,Male,Two-Wheeler,Petrol,Tier 1,35,0,114000,1.0,0,,,,0
NS-02150,25,Female,Two-Wheeler,Petrol,Tier 3,50,13,60000,1.0,0,,,,0
NS-00820,54,Female,Sedan,Petrol,Tier 1,50,7,1152000,1.0,0,,,,0
NS-01731,44,Female,Hatchback,Diesel,Tier 2,35,6,401000,1.0,0,,,,0
NS-00280,25,Male,SUV,Diesel,Tier 1,25,11,1060000,1.0,0,,,,0
NS-00409,32,Female,Hatchback,Diesel,Tier 1,25,11,370000,1.0,0,,,,0
NS-02108,49,Male,Hatchback,CNG,Tier 3,25,6,665000,1.0,0,,,,0
NS-01695,53,Male,SUV,Petrol,Tier 2,20,10,1791000,1.0,0,,,,0
NS-00941,53,Male,Two-Wheeler,Petrol,Tier 1,0,2,184000,1.0,0,,,,0
NS-01394,43,Female,SUV,Diesel,Tier 2,0,6,1189000,1.0,0,,,,0
NS-01738,35,Male,Two-Wheeler,Diesel,Tier 2,45,0,133000,1.0,0,,,,0
NS-00070,63,Female,SUV,CNG,Tier 1,0,3,1241000,1.0,0,,,,0
NS-02226,42,Male,SUV,Petrol,Tier 3,20,12,1401000,1.0,0,,,,0
NS-01318,38,Female,Sedan,Petrol,Tier 2,20,9,1166000,1.0,0,,,,0
NS-00439,37,Male,Hatchback,CNG,Tier 1,0,1,677000,1.0,0,,,,0
NS-01512,43,Male,Two-Wheeler,Diesel,Tier 2,35,2,149000,1.0,0,,,,0
NS-00999,54,Male,Hatchback,Diesel,Tier 1,0,14,549000,1.0,0,,,,0
NS-02399,55,Female,SUV,Petrol,Tier 3,0,7,1278000,1.0,0,,,,0
NS-00097,59,Male,Sedan,Petrol,Tier 1,0,3,1041000,1.0,1,31500.0,Collision,Clear,0
NS-00283,26,Male,Sedan,Petrol,Tier 1,0,14,712000,1.0,0,,,,0
NS-02268,65,Male,Hatchback,Petrol,Tier 3,0,4,619000,1.0,0,,,,0
NS-02208,52,Female,Hatchback,Petrol,Tier 3,20,4,450000,1.0,0,,,,0
NS-01615,53,Male,Two-Wheeler,Diesel,Tier 2,0,14,122000,1.0,0,,,,0
NS-01212,64,Male,Sedan,Diesel,Tier 2,0,12,840000,1.0,0,,,,0
NS-01166,33,Male,Two-Wheeler,Petrol,Tier 2,0,14,73000,1.0,0,,,,0
NS-00928,25,Female,Hatchback,Diesel,Tier 1,45,10,585000,1.0,1,38900.0,Collision,Rain,0
NS-01388,61,Female,Two-Wheeler,CNG,Tier 2,0,3,178000,1.0,0,,,,0
NS-02182,49,Female,Hatchback,Petrol,Tier 3,0,3,584000,1.0,0,,,,0
NS-01002,54,Male,Hatchback,Petrol,Tier 2,35,5,380000,1.0,0,,,,0
NS-01224,62,Female,Hatchback,Petrol,Tier 2,0,13,354000,1.0,0,,,,0
NS-00472,45,Female,SUV,Petrol,Tier 1,25,0,1031000,1.0,0,,,,0
NS-00417,22,Female,Sedan,Petrol,Tier 1,45,9,821000,1.0,1,21800.0,Collision,Clear,0
NS-00255,30,Male,Sedan,Electric,Tier 1,0,0,1138000,1.0,0,,,,0
NS-01613,21,Female,Two-Wheeler,Electric,Tier 2,0,13,121000,1.0,0,,,,0
NS-00444,36,Male,Two-Wheeler,CNG,Tier 1,50,13,141000,1.0,0,,,,0
NS-01057,41,Female,Hatchback,Petrol,Tier 2,20,6,351000,1.0,0,,,,0
NS-01473,36,Female,Hatchback,Petrol,Tier 2,20,10,573000,1.0,0,,,,0
NS-00252,64,Male,SUV,Diesel,Tier 1,0,2,1344000,1.0,0,,,,0
NS-02308,34,Female,SUV,Diesel,Tier 3,25,11,1849000,1.0,0,,,,0
NS-01784,45,Female,Two-Wheeler,Diesel,Tier 2,45,11,122000,1.0,0,,,,0
NS-02043,23,Male,Sedan,CNG,Tier 3,25,4,1034000,1.0,0,,,,0
NS-01487,42,Male,SUV,CNG,Tier 2,20,8,1671000,1.0,0,,,,0
NS-00760,65,Female,Sedan,Petrol,Tier 1,25,12,779000,1.0,0,,,,0
NS-00901,52,Female,Two-Wheeler,Petrol,Tier 1,25,1,197000,1.0,0,,,,0
NS-00434,24,Female,Hatchback,Petrol,Tier 1,25,6,482000,1.0,1,34800.0,Theft,Rain,0
NS-02368,46,Male,Two-Wheeler,Petrol,Tier 3,25,3,195000,1.0,0,,,,0
NS-01365,52,Female,Hatchback,CNG,Tier 2,25,9,660000,1.0,0,,,,0
NS-01065,29,Male,Sedan,Petrol,Tier 2,45,1,619000,1.0,0,,,,0
NS-01701,62,Male,Sedan,Petrol,Tier 2,20,7,886000,1.0,0,,,,0
NS-00638,50,Male,Hatchback,Petrol,Tier 1,35,13,503000,1.0,0,,,,0
NS-01051,59,Male,Hatchback,Petrol,Tier 2,25,15,623000,1.0,0,,,,0
NS-00931,55,Female,Sedan,Petrol,Tier 1,50,1,791000,1.0,0,,,,0
NS-01514,58,Female,Sedan,Petrol,Tier 2,0,0,993000,1.0,0,,,,0
NS-01395,59,Female,Sedan,Electric,Tier 2,35,14,924000,1.0,0,,,,0
NS-01779,29,Male,Hatchback,Petrol,Tier 2,0,8,562000,1.0,0,,,,0
NS-00950,65,Male,Hatchback,Petrol,Tier 1,20,4,690000,1.0,0,,,,0
NS-01726,28,Female,Sedan,Petrol,Tier 2,35,7,1159000,1.0,0,,,,0
NS-00150,64,Female,Hatchback,Petrol,Tier 1,45,5,476000,1.0,0,,,,0
NS-00209,42,Female,Hatchback,Petrol,Tier 1,50,6,581000,1.0,0,,,,0
NS-02197,63,Female,Hatchback,Petrol,Tier 3,20,8,616000,1.0,0,,,,0
NS-00403,38,Female,Hatchback,Petrol,Tier 1,0,15,564000,1.0,0,,,,0
NS-02342,21,Male,Hatchback,Diesel,Tier 3,45,0,517000,1.0,0,,,,0
NS-00841,55,Female,Hatchback,CNG,Tier 1,35,5,415000,1.0,1,83300.0,Collision,Rain,0
NS-00483,44,Male,SUV,Diesel,Tier 1,0,10,1694000,1.0,1,47000.0,Natural Disaster,Clear,0
NS-01369,31,Male,Hatchback,Diesel,Tier 2,35,13,534000,1.0,0,,,,0
NS-02249,29,Female,Sedan,Petrol,Tier 3,0,1,1081000,1.0,0,,,,0
NS-00858,64,Male,Sedan,Petrol,Tier 1,0,11,1104000,1.0,0,,,,0
NS-01018,29,Male,Two-Wheeler,Petrol,Tier 2,20,1,112000,1.0,0,,,,0
NS-02094,44,Female,Hatchback,CNG,Tier 3,0,6,357000,1.0,0,,,,0
NS-00994,40,Female,Two-Wheeler,Petrol,Tier 1,25,0,65000,1.0,0,,,,0
NS-02232,63,Female,Two-Wheeler,Diesel,Tier 3,0,14,75000,1.0,0,,,,0
NS-02176,37,Male,Hatchback,Petrol,Tier 3,25,3,630000,1.0,0,,,,0
NS-00510,29,Female,Two-Wheeler,Petrol,Tier 1,35,2,155000,1.0,1,41600.0,Theft,Fog,0
NS-00388,27,Male,Sedan,Petrol,Tier 1,20,1,764000,1.0,1,29000.0,Fire,Rain,0
NS-00545,55,Female,Hatchback,CNG,Tier 1,20,1,392000,1.0,0,,,,0
NS-00354,62,Male,Two-Wheeler,Petrol,Tier 1,25,15,64000,1.0,0,,,,0
NS-01375,51,Female,Two-Wheeler,Electric,Tier 2,50,10,123000,1.0,0,,,,0
NS-02148,62,Female,SUV,Petrol,Tier 3,35,4,1616000,1.0,0,,,,0
NS-01510,28,Female,Two-Wheeler,Diesel,Tier 2,25,9,142000,1.0,0,,,,0
NS-01221,50,Male,SUV,Petrol,Tier 2,0,14,1417000,1.0,0,,,,0
NS-00362,47,Female,Two-Wheeler,Diesel,Tier 1,50,9,83000,1.0,0,,,,0
NS-00644,22,Male,Sedan,Diesel,Tier 1,0,9,1154000,1.0,0,,,,0
NS-00050,64,Female,Hatchback,CNG,Tier 1,50,2,420000,1.0,0,,,,0
NS-00068,55,Female,Hatchback,Petrol,Tier 1,25,5,579000,1.0,0,,,,0
NS-00673,48,Male,Sedan,CNG,Tier 1,25,4,853000,1.0,1,38500.0,Collision,Clear,0
NS-00049,55,Female,SUV,Petrol,Tier 1,0,6,1506000,1.0,0,,,,0
NS-01195,41,Male,Hatchback,Diesel,Tier 2,25,12,592000,1.0,0,,,,0
NS-02191,50,Female,Sedan,Petrol,Tier 3,0,4,920000,1.0,0,,,,0
NS-02367,44,Male,SUV,Diesel,Tier 3,50,4,1147000,1.0,0,,,,0
NS-00799,56,Female,SUV,Petrol,Tier 1,25,3,2016000,1.0,0,,,,0
NS-00125,38,Male,Hatchback,CNG,Tier 1,0,15,412000,1.0,0,,,,0
NS-00481,58,Female,SUV,Petrol,Tier 1,0,15,1578000,1.0,0,,,,0
NS-00860,39,Male,Sedan,Diesel,Tier 1,0,11,1091000,1.0,0,,,,0
NS-00355,28,Male,SUV,CNG,Tier 1,45,12,1058000,1.0,1,35100.0,Natural Disaster,Clear,0
NS-02204,48,Male,SUV,Petrol,Tier 3,0,1,1239000,1.0,0,,,,0
NS-00927,54,Female,Sedan,CNG,Tier 1,25,0,724000,1.0,0,,,,0
NS-01736,53,Female,Hatchback,Diesel,Tier 2,20,4,368000,1.0,1,41200.0,Theft,Clear,0
NS-00633,46,Female,SUV,CNG,Tier 1,25,5,1473000,1.0,0,,,,0
NS-02152,60,Male,SUV,Diesel,Tier 3,0,7,1767000,1.0,0,,,,0
NS-00479,32,Male,Sedan,Petrol,Tier 1,25,13,665000,1.0,0,,,,0
NS-00882,60,Female,Hatchback,Diesel,Tier 1,0,9,569000,1.0,0,,,,0
NS-01912,60,Male,Hatchback,Petrol,Tier 3,35,6,492000,1.0,0,,,,0
NS-01267,60,Male,Sedan,Petrol,Tier 2,50,9,774000,1.0,0,,,,0
NS-00436,36,Male,Two-Wheeler,Petrol,Tier 1,45,1,161000,1.0,0,,,,0
NS-02001,61,Female,Sedan,Diesel,Tier 3,0,15,935000,1.0,0,,,,0
NS-02101,62,Female,Hatchback,Electric,Tier 3,35,6,454000,1.0,0,,,,0
NS-00241,37,Male,SUV,Petrol,Tier 1,0,3,918000,1.0,0,,,,0
NS-00071,48,Female,Hatchback,Petrol,Tier 1,45,10,439000,1.0,0,,,,0
NS-00368,35,Female,Hatchback,Electric,Tier 1,20,2,440000,1.0,0,,,,0
NS-00433,51,Female,SUV,Diesel,Tier 1,25,4,1320000,1.0,0,,,,0
NS-00074,45,Female,Sedan,Diesel,Tier 1,35,1,982000,1.0,0,,,,0
NS-01072,55,Male,Hatchback,Electric,Tier 2,20,1,485000,1.0,0,,,,0
NS-02198,42,Female,Sedan,CNG,Tier 3,20,8,633000,1.0,1,77500.0,Fire,Rain,0
NS-00533,63,Female,Sedan,Petrol,Tier 1,0,1,732000,1.0,0,,,,0
NS-00555,49,Male,Hatchback,Petrol,Tier 1,0,0,410000,1.0,0,,,,0
NS-01777,44,Male,SUV,Diesel,Tier 2,0,12,1759000,1.0,0,,,,0
NS-00531,38,Female,Sedan,Petrol,Tier 1,45,3,701000,1.0,0,,,,0
NS-00933,40,Male,Hatchback,Diesel,Tier 1,0,1,500000,1.0,0,,,,0
